id,make,model,badge,transmission_type,fuel_type,drive_type,all_params,match_score
6434473696559104,Toyota,86,GT,Automatic,Petrol,Rear Wheel Drive,Toyota 86 GT Automatic Petrol Rear Wheel Drive,0
5027098813005824,Toyota,86,GT,Manual,Petrol,Rear Wheel Drive,Toyota 86 GT Manual Petrol Rear Wheel Drive,0
5871523743137792,Toyota,86,GTS,Automatic,Petrol,Rear Wheel Drive,Toyota 86 GTS Automatic Petrol Rear Wheel Drive,0
5308573789716480,Toyota,86,GTS,Manual,Petrol,Rear Wheel Drive,Toyota 86 GTS Manual Petrol Rear Wheel Drive,0
6485436503425024,Toyota,86,GTS Apollo Blue,Automatic,Petrol,Rear Wheel Drive,Toyota 86 GTS Apollo Blue Automatic Petrol Rear Wheel Drive,0
4655849154805760,Toyota,86,GTS Apollo Blue,Manual,Petrol,Rear Wheel Drive,Toyota 86 GTS Apollo Blue Manual Petrol Rear Wheel Drive,0
6244675534979072,Toyota,Camry,Ascent,Automatic,Hybrid-Petrol,Front Wheel Drive,Toyota Camry Ascent Automatic Hybrid-Petrol Front Wheel Drive,0
6450252131336192,Toyota,Camry,Ascent,Automatic,Petrol,Front Wheel Drive,Toyota Camry Ascent Automatic Petrol Front Wheel Drive,0
5118775628136448,Toyota,Camry,Ascent Sport,Automatic,Hybrid-Petrol,Front Wheel Drive,Toyota Camry Ascent Sport Automatic Hybrid-Petrol Front Wheel Drive,0
5324352224493568,Toyota,Camry,Ascent Sport,Automatic,Petrol,Front Wheel Drive,Toyota Camry Ascent Sport Automatic Petrol Front Wheel Drive,0
5681725581557760,Toyota,Camry,SL,Automatic,Hybrid-Petrol,Front Wheel Drive,Toyota Camry SL Automatic Hybrid-Petrol Front Wheel Drive,0
4761402271072256,Toyota,Camry,SL,Automatic,Petrol,Front Wheel Drive,Toyota Camry SL Automatic Petrol Front Wheel Drive,0
4555825674715136,Toyota,Camry,SX,Automatic,Petrol,Front Wheel Drive,Toyota Camry SX Automatic Petrol Front Wheel Drive,0
5387024387276800,Toyota,Kluger,Black Edition,Automatic,Petrol,Four Wheel Drive,Toyota Kluger Black Edition Automatic Petrol Four Wheel Drive,0
6512924294119424,Toyota,Kluger,Black Edition,Automatic,Petrol,Front Wheel Drive,Toyota Kluger Black Edition Automatic Petrol Front Wheel Drive,0
5246286898921472,Toyota,Kluger,GX,Automatic,Petrol,Four Wheel Drive,Toyota Kluger GX Automatic Petrol Four Wheel Drive,0
6090711829053440,Toyota,Kluger,GX,Automatic,Petrol,Front Wheel Drive,Toyota Kluger GX Automatic Petrol Front Wheel Drive,0
5809236852342784,Toyota,Kluger,GXL,Automatic,Petrol,Four Wheel Drive,Toyota Kluger GXL Automatic Petrol Four Wheel Drive,0
